"Table 1. Real Gross Domestic Product, by County, 2019�2022",,,,,,,,,
,Real gross domestic product,,,,,Percent change from preceding period,,,
,Thousands of chained (2017) dollars,,,,Rank in state,Percent change,,,Rank in state
Union,"324,764","317,697","320,498","341,585",78,-2.2,0.9,6.6,19
Van Buren,"97,161","99,057","101,587","106,320",94,2.0,2.6,4.7,30
Warren,"1,444,817","1,389,274","1,435,227","1,415,198",35,-3.8,3.3,-1.4,87
Washington,"6,038,612","6,064,802","6,565,988","6,671,260",10,0.4,8.3,1.6,62
Wayne,"332,527","344,263","342,745","376,701",75,3.5,-0.4,9.9,9
Weakley,"1,104,339","1,075,359","1,167,613","1,129,336",46,-2.6,8.6,-3.3,91
White,"746,562","736,095","789,867","820,925",56,-1.4,7.3,3.9,38
Williamson,"24,203,065","24,590,929","27,285,472","28,843,963",5,1.6,11.0,5.7,24
Wilson,"5,581,599","5,712,869","6,516,602","6,833,539",9,2.4,14.1,4.9,29
,,,,,,,,,
Texas,"1,802,912,796","1,772,185,609","1,873,473,351","1,924,007,472",--,-1.7,5.7,2.7,--
Anderson,"1,984,764","1,950,822","2,061,471","2,080,081",85,-1.7,5.7,0.9,121
Andrews,"2,988,219","2,695,398","2,893,035","2,703,487",59,-9.8,7.3,-6.6,191
Angelina,"3,308,763","3,227,704","3,205,175","3,322,589",54,-2.4,-0.7,3.7,62
Aransas,"675,778","682,532","709,181","731,431",146,1.0,3.9,3.1,75
Archer,"276,978","283,611","278,296","283,399",200,2.4,-1.9,1.8,99
Armstrong,"49,052","53,653","45,019","43,599",253,9.4,-16.1,-3.2,167
Atascosa,"3,223,730","2,642,755","2,600,999","2,621,346",62,-18.0,-1.6,0.8,123
Austin,"1,405,384","1,412,914","1,594,863","1,644,744",94,0.5,12.9,3.1,76
Bailey,"382,349","399,352","394,082","329,459",190,4.4,-1.3,-16.4,234
Bandera,"395,871","367,504","382,993","391,445",181,-7.2,4.2,2.2,91
Bastrop,"2,433,723","2,538,981","2,660,865","2,842,297",57,4.3,4.8,6.8,29
Baylor,"157,145","170,257","169,329","162,377",227,8.3,-0.5,-4.1,173
Bee,"745,514","718,927","671,474","715,139",148,-3.6,-6.6,6.5,32
Bell,"16,695,725","17,040,316","17,790,381","17,980,355",15,2.1,4.4,1.1,115
Bexar,"106,525,108","105,083,799","109,873,970","115,265,382",5,-1.4,4.6,4.9,43
Blanco,"417,181","428,684","460,344","493,454",167,2.8,7.4,7.2,22
Borden,"456,635","435,832","425,288","464,480",171,-4.6,-2.4,9.2,11
Bosque,"563,932","559,872","582,543","606,269",155,-0.7,4.0,4.1,51
Bowie,"3,574,800","3,554,494","3,663,069","3,706,115",52,-0.6,3.1,1.2,114
Brazoria,"15,705,491","15,567,073","16,000,840","16,348,599",17,-0.9,2.8,2.2,92
Brazos,"10,292,537","10,275,883","10,967,202","11,495,568",24,-0.2,6.7,4.8,45
Brewster,"380,082","368,283","401,561","400,762",179,-3.1,9.0,-0.2,138
Briscoe,"89,810","76,988","105,753","92,662",240,-14.3,37.4,-12.4,217
Brooks,"288,476","273,370","276,603","262,147",205,-5.2,1.2,-5.2,182
Brown,"1,440,268","1,391,302","1,404,986","1,401,067",102,-3.4,1.0,-0.3,139
Burleson,"1,246,789","1,186,960","987,921","827,068",141,-4.8,-16.8,-16.3,233
Burnet,"1,678,304","1,744,173","1,847,466","1,911,392",86,3.9,5.9,3.5,66
Caldwell,"919,625","971,576","1,001,968","1,033,608",124,5.6,3.1,3.2,74
Calhoun,"3,294,444","3,163,594","3,413,281","3,508,866",53,-4.0,7.9,2.8,79
Callahan,"301,276","289,581","294,151","361,404",183,-3.9,1.6,22.9,2
Cameron,"11,200,319","10,912,927","11,660,469","12,032,752",21,-2.6,6.9,3.2,72
Camp,"344,516","351,760","363,241","396,199",180,2.1,3.3,9.1,13
Carson,"973,509","904,813","934,179","907,787",133,-7.1,3.2,-2.8,163
Cass,"859,173","920,829","973,179","999,944",125,7.2,5.7,2.8,81
Castro,"648,670","670,246","665,325","516,273",166,3.3,-0.7,-22.4,243
Chambers,"2,619,975","2,584,596","2,520,012","2,517,353",65,-1.4,-2.5,-0.1,136
Cherokee,"1,304,038","1,338,399","1,332,558","1,337,756",105,2.6,-0.4,0.4,128
Childress,"210,680","234,147","249,004","282,215",201,11.1,6.3,13.3,7
Clay,"212,860","214,369","214,441","217,969",217,0.7,0.0,1.6,102
Cochran,"208,413","214,637","236,805","180,558",226,3.0,10.3,-23.8,246
Coke,"93,063","97,423","180,908","194,838",221,4.7,85.7,7.7,19
Coleman,"205,024","202,454","206,757","214,247",218,-1.3,2.1,3.6,63
Collin,"68,444,784","70,476,796","76,577,433","83,208,852",6,3.0,8.7,8.7,14
Collingsworth,"76,500","78,711","80,778","73,519",246,2.9,2.6,-9.0,203
Colorado,"841,796","807,413","878,228","878,495",136,-4.1,8.8,0.0,134
Comal,"6,551,203","7,014,238","7,662,531","7,965,447",30,7.1,9.2,4.0,58
Comanche,"413,996","437,590","409,489","429,900",175,5.7,-6.4,5.0,42
Concho,"106,863","121,890","128,745","184,092",225,14.1,5.6,43.0,1
Cooke,"2,407,894","2,067,402","2,198,566","2,346,919",70,-14.1,6.3,6.7,30
Coryell,"1,643,834","1,624,028","1,674,493","1,660,310",93,-1.2,3.1,-0.8,149
Cottle,"51,809","57,677","72,021","81,059",244,11.3,24.9,12.5,8
Crane,"577,054","558,196","564,308","634,570",151,-3.3,1.1,12.5,9
Crockett,"621,653","639,022","581,604","479,913",168,2.8,-9.0,-17.5,237
Crosby,"232,530","216,050","248,219","191,567",222,-7.1,14.9,-22.8,244
Culberson,"2,390,403","2,587,895","2,502,908","2,288,356",73,8.3,-3.3,-8.6,198
Dallam,"693,194","692,034","668,028","565,224",160,-0.2,-3.5,-15.4,229
Dallas,"269,858,811","263,514,185","283,517,706","299,773,355",2,-2.4,7.6,5.7,38
Dawson,"639,973","659,730","617,120","589,964",158,3.1,-6.5,-4.4,178
Deaf Smith,"1,421,812","1,400,557","1,395,447","1,249,449",115,-1.5,-0.4,-10.5,210
Delta,"99,490","98,031","99,146","87,909",243,-1.5,1.1,-11.3,213
Denton,"35,977,333","39,570,027","43,110,011","45,868,233",7,10.0,8.9,6.4,33
DeWitt,"4,133,100","3,601,610","3,247,721","2,589,637",64,-12.9,-9.8,-20.3,239
Dickens,"92,187","89,695","87,256","88,159",242,-2.7,-2.7,1.0,118
Dimmit,"3,777,621","2,961,148","2,335,686","2,125,196",82,-21.6,-21.1,-9.0,204
Donley,"116,990","121,823","127,764","110,541",236,4.1,4.9,-13.5,220
Duval,"337,742","313,686","311,965","309,646",194,-7.1,-0.5,-0.7,148
Eastland,"763,228","704,621","716,106","721,781",147,-7.7,1.6,0.8,122
Ector,"13,040,470","10,954,580","10,605,581","11,363,572",25,-16.0,-3.2,7.1,23
Edwards,"72,203","83,703","81,602","79,523",245,15.9,-2.5,-2.5,161
Ellis,"6,460,079","6,323,807","6,747,841","6,964,273",33,-2.1,6.7,3.2,71
El Paso,"32,479,335","32,452,763","34,342,853","34,763,020",9,-0.1,5.8,1.2,112
Erath,"1,591,549","1,586,180","1,539,039","1,613,999",97,-0.3,-3.0,4.9,44
Falls,"376,777","387,176","379,447","383,430",182,2.8,-2.0,1.0,116
Fannin,"929,115","906,296","937,327","964,099",129,-2.5,3.4,2.9,78
Fayette,"1,609,695","1,570,167","1,687,071","1,616,234",96,-2.5,7.4,-4.2,174
Fisher,"205,689","213,178","274,055","326,840",191,3.6,28.6,19.3,4
Floyd,"340,861","270,693","354,875","240,399",212,-20.6,31.1,-32.3,251
Foard,"51,554","92,153","98,521","96,296",239,78.8,6.9,-2.3,159
Fort Bend,"30,903,434","30,731,832","32,128,414","33,408,557",10,-0.6,4.5,4.0,55
Franklin,"381,245","371,492","398,642","446,746",173,-2.6,7.3,12.1,10
Freestone,"1,014,476","935,189","896,549","874,483",138,-7.8,-4.1,-2.5,160
Frio,"1,191,888","1,021,567","1,032,267","964,524",128,-14.3,1.0,-6.6,192
Gaines,"1,970,767","1,852,877","1,650,797","1,413,581",100,-6.0,-10.9,-14.4,224
Galveston,"15,543,698","15,029,002","16,375,548","16,281,603",18,-3.3,9.0,-0.6,146
Garza,"254,375","218,563","216,900","185,708",224,-14.1,-0.8,-14.4,225
Gillespie,"1,110,675","1,130,990","1,264,111","1,286,201",111,1.8,11.8,1.7,100
Glasscock,"2,698,890","2,591,790","2,167,288","2,093,218",83,-4.0,-16.4,-3.4,171
Goliad,"304,494","261,821","313,469","268,571",203,-14.0,19.7,-14.3,223
Gonzales,"2,855,651","2,561,002","2,515,478","2,269,355",74,-10.3,-1.8,-9.8,207
Gray,"1,014,355","970,265","941,727","936,442",130,-4.3,-2.9,-0.6,145
Grayson,"4,989,540","4,874,197","5,225,085","5,325,544",40,-2.3,7.2,1.9,96
Gregg,"7,871,211","7,266,983","7,498,579","7,885,905",31,-7.7,3.2,5.2,39
Grimes,"1,060,595","991,238","970,345","1,053,305",123,-6.5,-2.1,8.5,16
Guadalupe,"7,461,635","7,731,101","9,131,528","9,590,455",27,3.6,18.1,5.0,41
Hale,"1,260,937","1,271,060","1,265,889","1,160,738",117,0.8,-0.4,-8.3,196
Hall,"71,604","70,363","100,413","65,719",249,-1.7,42.7,-34.6,252
Hamilton,"245,912","260,461","253,639","257,654",208,5.9,-2.6,1.6,104
Hansford,"509,867","468,655","461,377","351,711",184,-8.1,-1.6,-23.8,247
Hardeman,"167,243","196,545","205,334","207,916",219,17.5,4.5,1.3,111
Hardin,"1,344,442","1,272,534","1,346,913","1,357,119",103,-5.3,5.8,0.8,124
Harris,"382,109,887","375,075,182","394,061,459","402,792,333",1,-1.8,5.1,2.2,90
Harrison,"4,119,265","3,950,566","4,187,685","4,355,012",48,-4.1,6.0,4.0,54
Hartley,"721,081","696,176","674,293","534,332",164,-3.5,-3.1,-20.8,240
Haskell,"325,829","302,411","323,126","294,641",197,-7.2,6.8,-8.8,202
Hays,"8,373,127","8,376,192","9,147,933","9,724,156",26,0.0,9.2,6.3,34
Hemphill,"598,645","514,743","432,817","341,666",186,-14.0,-15.9,-21.1,241
Henderson,"1,805,752","1,827,000","1,807,130","1,835,540",89,1.2,-1.1,1.6,105
Hidalgo,"21,796,318","21,420,961","22,496,207","22,818,175",13,-1.7,5.0,1.4,109
Hill,"971,393","928,903","1,023,835","1,090,539",122,-4.4,10.2,6.5,31
Hockley,"1,781,458","1,525,418","1,465,320","1,300,445",108,-14.4,-3.9,-11.3,212
Hood,"2,456,371","2,240,051","2,341,039","2,420,953",67,-8.8,4.5,3.4,67
Hopkins,"1,652,835","1,567,457","1,593,423","1,706,381",92,-5.2,1.7,7.1,24
Houston,"918,588","905,611","892,800","873,777",139,-1.4,-1.4,-2.1,158
Howard,"5,804,240","5,801,877","6,138,825","5,849,258",37,0.0,5.8,-4.7,180
Hudspeth,"155,677","153,092","155,017","146,220",231,-1.7,1.3,-5.7,187
Hunt,"4,619,204","4,385,264","4,662,152","5,065,001",42,-5.1,6.3,8.6,15
Hutchinson,"4,954,317","4,319,312","5,363,420","4,439,446",47,-12.8,24.2,-17.2,236
Irion,"961,327","884,008","740,834","679,303",150,-8.0,-16.2,-8.3,195
Jack,"436,191","431,446","432,434","421,298",176,-1.1,0.2,-2.6,162
Jackson,"732,964","628,645","609,941","547,675",161,-14.2,-3.0,-10.2,208
Jasper,"994,291","976,342","1,010,877","990,549",127,-1.8,3.5,-2.0,157
Jeff Davis,"65,411","63,462","69,249","68,796",248,-3.0,9.1,-0.7,147
Jefferson,"20,229,810","16,922,130","17,151,793","16,611,587",16,-16.4,1.4,-3.1,166
Jim Hogg,"170,760","172,324","163,990","160,858",228,0.9,-4.8,-1.9,155
Jim Wells,"1,858,616","1,381,980","1,447,662","1,474,235",98,-25.6,4.8,1.8,98
Johnson,"5,786,224","5,715,719","6,173,729","6,303,488",36,-1.2,8.0,2.1,94
Jones,"420,821","421,414","460,035","445,483",174,0.1,9.2,-3.2,168
Karnes,"6,918,802","5,860,580","5,435,354","4,796,419",44,-15.3,-7.3,-11.8,215
Kaufman,"3,828,234","3,919,313","4,370,944","4,631,701",45,2.4,11.5,6.0,37
Kendall,"2,193,939","2,082,698","2,230,379","2,318,665",71,-5.1,7.1,4.0,57
Kenedy,"280,518","208,551","257,935","241,052",211,-25.7,23.7,-6.5,190
Kent,"185,986","164,264","143,080","105,753",238,-11.7,-12.9,-26.1,248
Kerr,"2,136,148","2,102,837","2,229,509","2,289,090",72,-1.6,6.0,2.7,83
Kimble,"128,876","133,584","143,433","145,609",232,3.7,7.4,1.5,108
King,"102,791","84,489","72,230","63,481",250,-17.8,-14.5,-12.1,216
Kinney,"110,270","115,035","112,049","112,401",234,4.3,-2.6,0.3,129
Kleberg,"1,102,546","1,053,283","1,100,625","1,101,754",118,-4.5,4.5,0.1,132
Knox,"141,465","144,694","193,799","224,920",214,2.3,33.9,16.1,5
Lamar,"2,691,276","2,463,934","2,619,129","2,694,410",60,-8.4,6.3,2.9,77
Lamb,"722,705","698,256","695,023","605,093",156,-3.4,-0.5,-12.9,219
Lampasas,"494,716","502,050","502,181","521,561",165,1.5,0.0,3.9,60
La Salle,"3,902,220","3,056,674","2,848,099","2,247,116",76,-21.7,-6.8,-21.1,242
Lavaca,"1,234,881","1,117,647","1,088,938","1,096,909",119,-9.5,-2.6,0.7,125
Lee,"981,553","882,207","850,121","801,574",142,-10.1,-3.6,-5.7,188
Leon,"683,410","690,859","726,592","743,965",145,1.1,5.2,2.4,86
Liberty,"2,207,024","2,104,876","2,211,592","2,223,527",78,-4.6,5.1,0.5,126
Limestone,"1,379,615","1,239,717","1,264,664","1,353,048",104,-10.1,2.0,7.0,27
Lipscomb,"528,271","492,847","473,738","407,380",177,-6.7,-3.9,-14.0,222
Live Oak,"1,499,868","1,263,609","1,275,352","1,277,802",113,-15.8,0.9,0.2,130
Llano,"741,181","749,329","775,374","776,794",143,1.1,3.5,0.2,131
Loving,"6,201,671","6,409,372","6,124,965","5,423,583",39,3.3,-4.4,-11.5,214
Lubbock,"13,921,923","13,984,899","14,375,597","14,606,518",19,0.5,2.8,1.6,103
Lynn,"222,767","273,057","333,194","304,552",196,22.6,22.0,-8.6,199
McCulloch,"333,307","312,559","313,670","319,628",193,-6.2,0.4,1.9,97
McLennan,"12,702,957","12,238,992","12,938,861","13,355,996",20,-3.7,5.7,3.2,70
McMullen,"1,672,599","1,426,115","1,129,053","908,593",132,-14.7,-20.8,-19.5,238
Madison,"536,167","495,396","496,971","470,026",169,-7.6,0.3,-5.4,184
Marion,"250,950","249,031","271,065","270,565",202,-0.8,8.8,-0.2,137
Martin,"6,483,671","6,651,179","6,980,095","6,677,211",34,2.6,4.9,-4.3,177
Mason,"116,368","113,019","110,563","112,246",235,-2.9,-2.2,1.5,107
Matagorda,"2,220,598","2,160,217","2,234,976","2,170,089",81,-2.7,3.5,-2.9,164
Maverick,"1,689,225","1,598,548","1,720,668","1,808,257",91,-5.4,7.6,5.1,40
Medina,"1,089,689","1,062,259","1,092,037","1,096,891",120,-2.5,2.8,0.4,127
Menard,"47,716","50,729","49,106","46,861",252,6.3,-3.2,-4.6,179
Midland,"27,184,269","24,889,946","24,100,116","23,980,249",12,-8.4,-3.2,-0.5,144
Milam,"621,368","587,936","621,263","612,757",153,-5.4,5.7,-1.4,152
Mills,"208,657","212,195","209,892","252,785",209,1.7,-1.1,20.4,3
Mitchell,"315,297","299,504","278,516","236,682",213,-5.0,-7.0,-15.0,227
Montague,"704,030","624,031","638,498","608,269",154,-11.4,2.3,-4.7,181
Montgomery,"30,915,742","31,179,821","33,025,538","35,006,940",8,0.9,5.9,6.0,36
Moore,"2,434,421","1,993,227","2,787,023","2,590,813",63,-18.1,39.8,-7.0,193
Morris,"559,131","506,313","555,747","589,952",159,-9.4,9.8,6.2,35
Motley,"28,464","33,888","26,468","26,355",254,19.1,-21.9,-0.4,143
Nacogdoches,"2,416,992","2,449,643","2,579,650","2,671,272",61,1.4,5.3,3.6,65
Navarro,"1,625,467","1,532,033","1,601,520","1,637,023",95,-5.7,4.5,2.2,89
Newton,"484,667","427,278","444,524","463,362",172,-11.8,4.0,4.2,48
Nolan,"918,961","888,264","963,294","909,100",131,-3.3,8.4,-5.6,185
Nueces,"19,831,610","18,179,397","19,139,878","18,312,690",14,-8.3,5.3,-4.3,176
Ochiltree,"996,265","827,524","839,197","698,434",149,-16.9,1.4,-16.8,235
Oldham,"274,664","307,904","312,341","283,786",199,12.1,1.4,-9.1,205
Orange,"3,517,672","3,513,798","3,726,799","3,859,712",51,-0.1,6.1,3.6,64
Palo Pinto,"1,084,588","1,012,402","969,216","996,325",126,-6.7,-4.3,2.8,80
Panola,"1,912,248","1,972,051","2,350,212","2,352,003",69,3.1,19.2,0.1,133
Parker,"4,417,118","4,412,122","4,769,408","5,105,148",41,-0.1,8.1,7.0,25
Parmer,"917,101","955,330","966,899","876,318",137,4.2,1.2,-9.4,206
Pecos,"2,487,101","2,453,396","2,249,734","1,898,933",87,-1.4,-8.3,-15.6,230
Polk,"1,302,675","1,257,476","1,265,628","1,286,541",110,-3.5,0.6,1.7,101
Potter,"8,441,716","8,463,502","8,794,922","8,875,835",28,0.3,3.9,0.9,120
Presidio,"221,572","222,481","237,012","224,332",215,0.4,6.5,-5.3,183
Rains,"202,775","214,673","214,071","222,077",216,5.9,-0.3,3.7,61
Randall,"3,981,046","4,080,649","4,233,095","4,229,413",49,2.5,3.7,-0.1,135
Reagan,"3,135,983","2,854,353","2,667,258","2,239,205",77,-9.0,-6.6,-16.0,232
Real,"73,701","79,376","82,875","89,264",241,7.7,4.4,7.7,18
Red River,"272,971","288,791","303,390","306,516",195,5.8,5.1,1.0,119
Reeves,"9,454,623","10,648,394","9,511,964","8,050,242",29,12.6,-10.7,-15.4,228
Refugio,"337,764","304,792","295,983","340,204",187,-9.8,-2.9,14.9,6
Roberts,"224,523","199,573","178,080","159,711",229,-11.1,-10.8,-10.3,209
Robertson,"2,030,428","2,079,896","2,179,914","2,202,531",79,2.4,4.8,1.0,117
Rockwall,"4,501,712","4,484,612","4,721,808","4,939,265",43,-0.4,5.3,4.6,47
Runnels,"301,592","281,617","299,268","289,758",198,-6.6,6.3,-3.2,169
Rusk,"2,413,857","2,422,683","2,434,736","2,363,178",68,0.4,0.5,-2.9,165
Sabine,"224,481","231,190","239,287","242,637",210,3.0,3.5,1.4,110
San Augustine,"665,945","648,622","869,750","634,514",152,-2.6,34.1,-27.0,249
San Jacinto,"359,004","339,459","340,529","334,986",189,-5.4,0.3,-1.6,153
San Patricio,"2,512,063","3,167,697","2,947,104","2,722,849",58,26.1,-7.0,-7.6,194
San Saba,"178,805","153,267","146,888","148,626",230,-14.3,-4.2,1.2,113
Schleicher,"129,528","128,066","122,256","118,107",233,-1.1,-4.5,-3.4,170
Scurry,"1,634,250","1,481,074","1,455,255","1,327,482",106,-9.4,-1.7,-8.8,201
Shackelford,"261,523","238,604","255,154","265,462",204,-8.8,6.9,4.0,52
Shelby,"1,150,098","1,083,139","1,306,499","1,410,124",101,-5.8,20.6,7.9,17
Sherman,"444,891","395,995","460,129","259,091",206,-11.0,16.2,-43.7,254
Smith,"11,421,754","11,144,056","11,615,626","12,000,949",22,-2.4,4.2,3.3,69
Somervell,"1,227,337","1,204,015","1,279,487","1,257,277",114,-1.9,6.3,-1.7,154
Starr,"1,263,873","1,293,691","1,289,811","1,285,475",112,2.4,-0.3,-0.3,140
Stephens,"409,925","380,254","354,692","339,718",188,-7.2,-6.7,-4.2,175
Sterling,"221,087","215,984","224,419","200,070",220,-2.3,3.9,-10.8,211
Stonewall,"144,152","125,686","119,687","109,223",237,-12.8,-4.8,-8.7,200
Sutton,"288,989","246,483","221,051","189,108",223,-14.7,-10.3,-14.5,226
Swisher,"459,078","409,268","471,902","343,178",185,-10.8,15.3,-27.3,250
Tarrant,"118,947,910","113,672,291","122,643,736","127,597,428",4,-4.4,7.9,4.0,53
Taylor,"6,704,709","6,643,635","6,819,466","7,087,583",32,-0.9,2.6,3.9,59
Terrell,"71,221","61,926","76,295","71,932",247,-13.1,23.2,-5.7,189
Terry,"569,820","512,448","475,366","401,198",178,-10.1,-7.2,-15.6,231
Throckmorton,"66,942","60,664","96,797","62,810",251,-9.4,59.6,-35.1,253
Titus,"1,850,016","1,703,846","1,908,874","2,084,581",84,-7.9,12.0,9.2,12
Tom Green,"6,128,907","6,203,351","6,355,372","6,499,206",35,1.2,2.5,2.3,87
Travis,"122,982,943","125,596,454","140,011,391","150,752,659",3,2.1,11.5,7.7,20
Trinity,"261,913","247,399","246,274","258,117",207,-5.5,-0.5,4.8,46
Tyler,"406,985","419,527","437,247","467,877",170,3.1,4.2,7.0,26
Upshur,"818,438","812,766","840,479","853,384",140,-0.7,3.4,1.5,106
Upton,"3,934,936","4,121,763","3,943,810","3,929,483",50,4.7,-4.3,-0.4,141
Uvalde,"852,395","868,748","900,368","892,593",135,1.9,3.6,-0.9,150
Val Verde,"1,745,336","1,729,515","1,814,776","1,850,013",88,-0.9,4.9,1.9,95
Van Zandt,"1,173,469","1,204,803","1,237,019","1,289,175",109,2.7,2.7,4.2,49
Victoria,"4,442,322","4,306,229","4,459,816","4,602,176",46,-3.1,3.6,3.2,73
Walker,"2,230,283","2,158,415","2,138,924","2,196,217",80,-3.2,-0.9,2.7,82
Waller,"2,988,218","2,985,962","3,090,341","3,159,376",55,-0.1,3.5,2.2,88
Ward,"3,543,292","2,996,827","2,876,586","2,488,336",66,-15.4,-4.0,-13.5,221
Washington,"1,877,655","1,943,694","2,172,400","2,258,874",75,3.5,11.8,4.0,56
Webb,"11,389,246","11,017,375","11,380,569","11,679,742",23,-3.3,3.3,2.6,84
Wharton,"1,875,933","1,785,250","1,863,270","1,826,651",90,-4.8,4.4,-2.0,156
Wheeler,"517,522","473,461","420,330","324,267",192,-8.5,-11.2,-22.9,245
Wichita,"5,778,132","5,653,023","5,678,465","5,801,591",38,-2.2,0.5,2.2,93
Wilbarger,"778,044","716,030","706,050","757,113",144,-8.0,-1.4,7.2,21
Willacy,"468,261","445,654","560,728","540,059",163,-4.8,25.8,-3.7,172
Williamson,"23,971,336","25,581,336","27,428,636","29,305,284",11,6.7,7.2,6.8,28
Wilson,"1,094,179","1,038,786","1,049,846","1,092,947",121,-5.1,1.1,4.1,50
Winkler,"1,585,536","1,604,449","1,405,712","1,225,985",116,1.2,-12.4,-12.8,218
Wise,"3,013,732","2,819,382","3,003,769","3,105,224",56,-6.4,6.5,3.4,68
Wood,"1,431,142","1,463,372","1,461,700","1,456,214",99,2.3,-0.1,-0.4,142
Yoakum,"1,903,919","1,706,516","1,437,762","1,316,435",107,-10.4,-15.7,-8.4,197
Young,"798,429","800,669","877,855","899,955",134,0.3,9.6,2.5,85
Zapata,"635,999","554,736","597,645","590,581",157,-12.8,7.7,-1.2,151
Zavala,"602,728","577,748","574,272","541,952",162,-4.1,-0.6,-5.6,186
,,,,,,,,,
Utah,"192,698,684","194,753,700","209,975,165","213,898,311",--,1.1,7.8,1.9,--
Beaver,"370,267","353,475","428,744","504,761",21,-4.5,21.3,17.7,2
Box Elder,"2,335,201","2,395,897","2,462,442","2,610,519",8,2.6,2.8,6.0,12
Cache,"5,942,126","5,962,375","6,379,526","6,371,260",6,0.3,7.0,-0.1,21
Carbon,"1,099,917","1,145,823","1,060,616","967,164",17,4.2,-7.4,-8.8,29
Daggett,"123,813","116,723","91,490","103,876",28,-5.7,-21.6,13.5,4
Davis,"15,495,430","15,802,970","16,549,249","16,232,965",3,2.0,4.7,-1.9,23
Duchesne,"1,075,345","1,036,561","1,077,577","1,066,994",15,-3.6,4.0,-1.0,22
Emery,"914,102","952,301","1,082,995","1,203,860",14,4.2,13.7,11.2,6
Garfield,"273,096","265,355","303,921","347,748",25,-2.8,14.5,14.4,3
Grand,"658,759","615,047","660,479","673,728",20,-6.6,7.4,2.0,17
Iron,"1,906,080","1,935,440","2,060,385","2,211,325",9,1.5,6.5,7.3,9
Juab,"498,977","513,331","616,048","684,092",19,2.9,20.0,11.0,7
Kane,"360,363","376,284","432,351","417,970",23,4.4,14.9,-3.3,26
Millard,"857,335","875,059","903,018","963,314",18,2.1,3.2,6.7,11
Morgan,"313,948","349,083","390,773","363,878",24,11.2,11.9,-6.9,28
Piute,"74,611","67,464","57,457","69,777",29,-9.6,-14.8,21.4,1
Rich,"138,681","144,275","150,520","140,929",26,4.0,4.3,-6.4,27
Salt Lake,"101,001,575","100,538,997","109,311,585","110,953,294",1,-0.5,8.7,1.5,18
San Juan,"470,867","445,508","484,337","498,364",22,-5.4,8.7,2.9,15
Sanpete,"830,018","861,414","914,800","1,018,245",16,3.8,6.2,11.3,5
Sevier,"1,127,974","1,146,397","1,155,947","1,239,529",13,1.6,0.8,7.2,10
Summit,"3,618,764","3,541,393","4,229,844","4,363,032",7,-2.1,19.4,3.1,14
Tooele,"1,821,760","1,983,656","2,175,541","2,125,272",10,8.9,9.7,-2.3,25
Uintah,"1,719,688","1,633,276","1,645,488","1,772,587",11,-5.0,0.7,7.7,8
Utah,"29,611,528","30,961,139","33,412,370","34,604,155",2,4.6,7.9,3.6,13
Wasatch,"1,139,902","1,116,261","1,259,299","1,267,180",12,-2.1,12.8,0.6,20
Washington,"6,886,456","7,219,195","7,853,248","7,944,998",5,4.8,8.8,1.2,19
Wayne,"105,276","106,138","109,640","107,335",27,0.8,3.3,-2.1,24
Weber,"11,942,660","12,312,416","12,730,833","13,096,916",4,3.1,3.4,2.9,16
,,,,,,,,,
Vermont,"33,207,568","32,307,106","33,860,799","34,609,392",--,-2.7,4.8,2.2,--
Addison,"1,681,968","1,585,128","1,679,034","1,724,774",8,-5.8,5.9,2.7,4
Bennington,"1,717,922","1,631,016","1,721,101","1,742,201",7,-5.1,5.5,1.2,10
Caledonia,"1,134,810","1,140,410","1,174,147","1,171,143",10,0.5,3.0,-0.3,13
Chittenden,"11,793,311","11,334,932","12,250,896","12,699,864",1,-3.9,8.1,3.7,2
Essex,"144,208","136,394","139,307","141,811",14,-5.4,2.1,1.8,7
Franklin,"2,195,614","2,160,092","2,132,107","2,108,763",6,-1.6,-1.3,-1.1,14
Grand Isle,"203,826","186,002","201,697","211,193",13,-8.7,8.4,4.7,1
Lamoille,"1,150,198","1,104,955","1,190,386","1,213,884",9,-3.9,7.7,2.0,6
Orange,"818,744","824,215","818,787","832,385",12,0.7,-0.7,1.7,8
Orleans,"1,073,195","1,065,742","1,106,889","1,129,192",11,-0.7,3.9,2.0,5
Rutland,"2,598,667","2,511,587","2,614,060","2,645,533",4,-3.4,4.1,1.2,11
Washington,"3,748,276","3,678,466","3,764,941","3,868,214",2,-1.9,2.4,2.7,3
Windham,"2,316,695","2,293,886","2,310,556","2,329,838",5,-1.0,0.7,0.8,12
Windsor,"2,631,354","2,653,609","2,762,621","2,802,347",3,0.8,4.1,1.4,9
,,,,,,,,,
Virginia,"541,070,160","533,828,281","562,888,044","576,964,272",--,-1.3,5.4,2.5,--
Accomack,"1,809,143","1,782,085","1,869,689","1,750,550",42,-1.5,4.9,-6.4,101
Amelia,"277,079","258,457","292,525","323,164",91,-6.7,13.2,10.5,6
Amherst,"797,968","757,303","804,626","813,435",64,-5.1,6.2,1.1,56
Appomattox,"298,683","293,255","323,214","335,803",90,-1.8,10.2,3.9,24
Arlington,"36,745,481","36,642,084","38,937,746","38,871,754",2,-0.3,6.3,-0.2,79
Bath,"222,749","200,022","214,893","224,816",99,-10.2,7.4,4.6,19
Bedford,"2,009,252","1,914,555","2,054,042","2,040,196",38,-4.7,7.3,-0.7,83
Bland,"212,301","200,824","191,771","189,716",100,-5.4,-4.5,-1.1,86
